"comppct_l","comppct_r","comppct_h","compname","compkind","majcompflag","otherph","localphase","slope_l","slope_r","slope_h","slopelenusle_l","slopelenusle_r","slopelenusle_h","runoff","tfact","wei","weg","erocl","earthcovkind1","earthcovkind2","hydricon","hydricrating","drainagecl","elev_l","elev_r","elev_h","aspectccwise","aspectrep","aspectcwise","geomdesc","albedodry_l","albedodry_r","albedodry_h","airtempa_l","airtempa_r","airtempa_h","map_l","map_r","map_h","reannualprecip_l","reannualprecip_r","reannualprecip_h","ffd_l","ffd_r","ffd_h","nirrcapcl","nirrcapscl","nirrcapunit","irrcapcl","irrcapscl","irrcapunit","cropprodindex","constreeshrubgrp","wndbrksuitgrp","rsprod_l","rsprod_r","rsprod_h","foragesuitgrpid","wlgrain","wlgrass","wlherbaceous","wlshrub","wlconiferous","wlhardwood","wlwetplant","wlshallowwat","wlrangeland","wlopenland","wlwoodland","wlwetland","soilslippot","frostact","initsub_l","initsub_r","initsub_h","totalsub_l","totalsub_r","totalsub_h","hydgrp","corcon","corsteel","taxclname","taxorder","taxsuborder","taxgrtgroup","taxsubgrp","taxpartsize","taxpartsizemod","taxceactcl","taxreaction","taxtempcl","taxmoistscl","taxtempregime","soiltaxedition","castorieindex","flecolcomnum","flhe","flphe","flsoilleachpot","flsoirunoffpot","fltemik2use","fltriumph2use","indraingrp","innitrateleachi","misoimgmtgrp","vasoimgtgrp","mukey","cokey"
,1,,"Minvale","Series","Yes","NORTH",,15.00,25.00,35.00,,,,,5,,,,,,,"No","Well drained",152.00,259.00,366.00,,,,,,,,14.00,15.00,16.00,1143,1270,1397,,,,180,193,205,"6","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Low","Moderate","Fine-loamy, siliceous, subactive, thermic Typic Paleudults","Ultisols","Udults","Paleudults","Typic Paleudults","fine-loamy","not used","subactive","not used","thermic","Udic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657755","14175254"
,20,,"Townley","Series","Yes",,,2.00,4.00,6.00,,,,,2,,"5",,,,,"No","Well drained",183.00,336.00,488.00,,,,,,,,14.00,16.00,18.00,1143,1283,1422,,,,190,200,210,"3","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","High","Moderate","Fine, mixed, semiactive, thermic Typic Hapludults","Ultisols","Udults","Hapludults","Typic Hapludults","fine","not used","semiactive","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657755","14175255"
,5,,"Nauvoo","Series","Yes",,,6.00,11.00,15.00,,,,,3,,"3",,,,,"No","Well drained",183.00,366.00,549.00,,,,,,,,14.00,16.00,18.00,1219,1321,1422,,,,190,200,210,"4","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","High","Low","Fine-loamy, siliceous, semiactive, thermic Typic Hapludults","Ultisols","Udults","Hapludults","Typic Hapludults","fine-loamy","not used","semiactive","not used","thermic","Udic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657755","14175256"
,2,,"Allen","Series","Yes",,,6.00,8.00,10.00,,,,,5,,,,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"3","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","Low","Fine-loamy, siliceous, semiactive, thermic Typic Paleudults","Ultisols","Udults","Paleudults","Typic Paleudults","fine-loamy","not used","semiactive","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657755","14175257"
,3,,"Tasso","Series","Yes",,,4.00,8.00,12.00,,,,,5,,,,,,,"No","Well drained",183.00,244.00,305.00,,,,,,,,14.00,15.00,16.00,1168,1270,1372,,,,185,195,205,"3","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","Moderate","Fine-loamy, siliceous, semiactive, thermic Fragic Paleudults","Ultisols","Udults","Paleudults","Fragic Paleudults","fine-loamy","not used","semiactive","not used","thermic","Oxyaquic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657755","14175258"
,3,,"Wax","Series","Yes",,,0.00,2.00,3.00,,,,,2,,"5",,,,,"No","Moderately well drained",152.00,351.00,549.00,,,,,,,,16.00,17.00,18.00,1143,1270,1397,,,,190,200,210,"2","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","Moderate","Moderate","Fine-loamy, siliceous, semiactive, thermic Typic Fragiudults","Ultisols","Udults","Fragiudults","Typic Fragiudults","fine-loamy","not used","semiactive","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657755","14175259"
,5,,"Nauvoo","Series","Yes",,,15.00,23.00,30.00,,,,,3,,"3",,,,,"No","Well drained",183.00,366.00,549.00,,,,,,,,14.00,16.00,18.00,1219,1321,1422,,,,190,200,210,"6","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","High","Low","Fine-loamy, siliceous, semiactive, thermic Typic Hapludults","Ultisols","Udults","Hapludults","Typic Hapludults","fine-loamy","not used","semiactive","not used","thermic","Udic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657755","14175260"
,1,,"Minvale","Series","Yes",,,6.00,11.00,15.00,,,,,5,,,,,,,"No","Well drained",152.00,259.00,366.00,,,,,,,,14.00,15.00,16.00,1143,1270,1397,,,,180,193,205,"3","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Low","Moderate","Fine-loamy, siliceous, subactive, thermic Typic Paleudults","Ultisols","Udults","Paleudults","Typic Paleudults","fine-loamy","not used","subactive","not used","thermic","Udic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657755","14175261"
,1,,"Mooreville","Series","Yes",,,0.00,1.00,2.00,,,,,5,,,,,,,"Yes","Moderately well drained",,,,,,,,,,,,,,,,,,,,,,,"5","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","High","Moderate","Fine-loamy, siliceous, active, thermic Fluvaquentic Dystrudepts","Inceptisols","Udepts","Dystrudepts","Fluvaquentic Dystrudepts","fine-loamy","not used","active","not used","thermic","Aquic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657755","14175262"
,11,,"Townley","Series","Yes",,,15.00,23.00,30.00,,,,,2,,"3",,,,,"No","Well drained",183.00,336.00,488.00,,,,,,,,14.00,16.00,18.00,1143,1283,1422,,,,190,200,210,"7","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","High","Moderate","Fine, mixed, semiactive, thermic Typic Hapludults","Ultisols","Udults","Hapludults","Typic Hapludults","fine","not used","semiactive","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657755","14175263"
,10,,"Quitman","Series","Yes",,,0.00,2.00,4.00,,,,,5,,"3",,,,,"No","Somewhat poorly drained",,,,,,,,,,,,,,,,,,,,,,,"2","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","Moderate","High","Fine-loamy, siliceous, semiactive, thermic Aquic Paleudults","Ultisols","Udults","Paleudults","Aquic Paleudults","fine-loamy","not used","semiactive","not used","thermic","Aquic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657755","14175264"
,25,,"Townley","Series","Yes",,,6.00,11.00,15.00,,,,,2,,"5",,,,,"No","Well drained",183.00,336.00,488.00,,,,,,,,14.00,16.00,18.00,1143,1283,1422,,,,190,200,210,"6","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","High","Moderate","Fine, mixed, semiactive, thermic Typic Hapludults","Ultisols","Udults","Hapludults","Typic Hapludults","fine","not used","semiactive","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657755","14175265"
,1,,"Nella","Series","Yes",,,6.00,11.00,15.00,,,,,5,,,,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"4","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","Moderate","Fine-loamy, siliceous, semiactive, thermic Typic Paleudults","Ultisols","Udults","Paleudults","Typic Paleudults","fine-loamy","not used","semiactive","not used","thermic","Udic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657755","14175266"
,45,,"Choccolocco","Series","Yes",,,0.00,1.00,2.00,,,,,5,,"6",,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"4","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","Moderate","Fine-silty, mixed, semiactive, thermic Typic Hapludults","Ultisols","Udults","Hapludults","Typic Hapludults","fine-silty","not used","semiactive","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657756","14175267"
,15,,"Quitman","Series","Yes",,,0.00,2.00,4.00,,,,,5,,"3",,,,,"No","Somewhat poorly drained",,,,,,,,,,,,,,,,,,,,,,,"2","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","Moderate","High","Fine-loamy, siliceous, semiactive, thermic Aquic Paleudults","Ultisols","Udults","Paleudults","Aquic Paleudults","fine-loamy","not used","semiactive","not used","thermic","Aquic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657756","14175268"
,40,,"Sterrett","Series","Yes","BRIEF",,0.00,1.00,2.00,,,,,5,,"6",,,,,"Yes","Somewhat poorly drained",,,,,,,,,,,,,,,,,,,,,,,"4","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D","Moderate","High","Fine-loamy, siliceous, active, thermic Aeric Endoaqualfs","Alfisols","Aqualfs","Endoaqualfs","Aeric Endoaqualfs","fine-loamy","not used","active","not used","thermic","Aeric","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657756","14175269"
