"comppct_l","comppct_r","comppct_h","compname","compkind","majcompflag","otherph","localphase","slope_l","slope_r","slope_h","slopelenusle_l","slopelenusle_r","slopelenusle_h","runoff","tfact","wei","weg","erocl","earthcovkind1","earthcovkind2","hydricon","hydricrating","drainagecl","elev_l","elev_r","elev_h","aspectccwise","aspectrep","aspectcwise","geomdesc","albedodry_l","albedodry_r","albedodry_h","airtempa_l","airtempa_r","airtempa_h","map_l","map_r","map_h","reannualprecip_l","reannualprecip_r","reannualprecip_h","ffd_l","ffd_r","ffd_h","nirrcapcl","nirrcapscl","nirrcapunit","irrcapcl","irrcapscl","irrcapunit","cropprodindex","constreeshrubgrp","wndbrksuitgrp","rsprod_l","rsprod_r","rsprod_h","foragesuitgrpid","wlgrain","wlgrass","wlherbaceous","wlshrub","wlconiferous","wlhardwood","wlwetplant","wlshallowwat","wlrangeland","wlopenland","wlwoodland","wlwetland","soilslippot","frostact","initsub_l","initsub_r","initsub_h","totalsub_l","totalsub_r","totalsub_h","hydgrp","corcon","corsteel","taxclname","taxorder","taxsuborder","taxgrtgroup","taxsubgrp","taxpartsize","taxpartsizemod","taxceactcl","taxreaction","taxtempcl","taxmoistscl","taxtempregime","soiltaxedition","castorieindex","flecolcomnum","flhe","flphe","flsoilleachpot","flsoirunoffpot","fltemik2use","fltriumph2use","indraingrp","innitrateleachi","misoimgmtgrp","vasoimgtgrp","mukey","cokey"
,4,,"Muskingum","Series","Yes","NORTH",,45.00,53.00,60.00,,,,,3,,,,,,,"No","Well drained",366.00,564.00,762.00,,,,,,,,10.00,12.00,14.00,1016,1143,1270,,,,160,175,190,"7","e",,,,,,,,,,,,,,,,,,,,,,,,,"Moderate",,,,,,,"C","High","Low","Fine-loamy, mixed, semiactive, mesic Typic Dystrudepts","Inceptisols","Udepts","Dystrudepts","Typic Dystrudepts","fine-loamy","not used","semiactive","not used","mesic",,"mesic","ninth edition",,,,,,,"N/A","N/A",,,,,"657896","14176923"
,2,,"Gorgas","Series","Yes",,,5.00,9.00,12.00,,,,,1,"0","8",,,,,"No","Well drained",183.00,336.00,488.00,,,,,,,,14.00,16.00,18.00,1219,1321,1422,,,,190,200,210,"6","s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D","Moderate","Low","Loamy, siliceous, subactive, thermic Lithic Hapludults","Ultisols","Udults","Hapludults","Lithic Hapludults","loamy","not used","subactive","not used","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657896","14176924"
,15,,"Bouldin","Series","Yes",,,45.00,53.00,60.00,,,,,5,,,,,,,"No","Well drained",518.00,610.00,701.00,,,,,,,,12.00,13.00,14.00,1321,1372,1422,,,,170,180,190,"7","s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","Low","Loamy-skeletal, siliceous, subactive, mesic Typic Paleudults","Ultisols","Udults","Paleudults","Typic Paleudults","loamy-skeletal","not used","subactive","not used","mesic","Typic","mesic","ninth edition",,,,,,,"N/A","N/A",,,,,"657896","14176925"
,5,,"Barfield","Series","Yes",,,12.00,19.00,25.00,,,,,1,,,,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"6","s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D","Low","High","Clayey, vermiculitic, thermic Lithic Hapludolls","Mollisols","Udolls","Hapludolls","Lithic Hapludolls","clayey","not used","not used","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657896","14176926"
,2,,"Braxton","Series","Yes","NORTH",,12.00,19.00,25.00,,,,,5,,,,,,,"No","Well drained",274.00,320.00,366.00,,,,,,,,14.00,15.00,16.00,1219,1308,1397,,,,190,198,205,"4","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","Moderate","High","Fine, mixed, active, thermic Typic Paleudalfs","Alfisols","Udalfs","Paleudalfs","Typic Paleudalfs","fine","not used","active","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657896","14176927"
,5,,"Talbott","Series","Yes","NORTH",,12.00,19.00,25.00,,,,,2,,,,,,,"No","Well drained",140.00,284.00,427.00,,,,,,,,14.00,16.00,17.00,1143,1270,1397,,,,190,198,205,"6","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","Moderate","High","Fine, mixed, semiactive, thermic Typic Hapludalfs","Alfisols","Udalfs","Hapludalfs","Typic Hapludalfs","fine","not used","semiactive","not used","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657896","14176928"
,6,,"Jefferson","Series","Yes","NORTH",,25.00,35.00,45.00,,,,,4,,"3",,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"7","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","High","Moderate","Fine-loamy, siliceous, semiactive, mesic Typic Hapludults","Ultisols","Udults","Hapludults","Typic Hapludults","fine-loamy","not used","semiactive","not used","mesic",,"mesic","ninth edition",,,,,,,"N/A","N/A",,,,,"657896","14176929"
,2,,"Hartsells","Series","Yes",,,6.00,8.00,10.00,,,,,2,,"3",,,,,"No","Well drained",183.00,366.00,549.00,,,,,,,,14.00,16.00,18.00,1219,1321,1422,,,,190,200,210,"3","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","High","Moderate","Fine-loamy, siliceous, subactive, thermic Typic Hapludults","Ultisols","Udults","Hapludults","Typic Hapludults","fine-loamy","not used","subactive","not used","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657896","14176930"
,1,,"Jefferson","Series","Yes","NORTH",,12.00,19.00,25.00,,,,,4,,"3",,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"4","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","High","Moderate","Fine-loamy, siliceous, semiactive, mesic Typic Hapludults","Ultisols","Udults","Hapludults","Typic Hapludults","fine-loamy","not used","semiactive","not used","mesic",,"mesic","ninth edition",,,,,,,"N/A","N/A",,,,,"657896","14176931"
,8,,"Allen","Series","Yes",,,5.00,9.00,12.00,,,,,5,,,,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"3","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","Low","Fine-loamy, siliceous, semiactive, thermic Typic Paleudults","Ultisols","Udults","Paleudults","Typic Paleudults","fine-loamy","not used","semiactive","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657897","14176932"
,9,,"Fullerton","Series","Yes",,,2.00,4.00,5.00,,,,,5,,,,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"2","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","High","Fine, kaolinitic, thermic Typic Paleudults","Ultisols","Udults","Paleudults","Typic Paleudults","fine","not used","not used","not used","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657897","14176933"
,9,,"Toccoa","Series","Yes",,,0.00,1.00,2.00,,,,,4,,"3",,,,,"No","Moderately well drained",143.00,300.00,457.00,,,,,,,,16.00,17.00,18.00,1143,1270,1397,,,,180,210,240,"2","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","Low","Coarse-loamy, mixed, active, nonacid, thermic Typic Udifluvents","Entisols","Fluvents","Udifluvents","Typic Udifluvents","coarse-loamy","not used","active","nonacid","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657897","14176934"
,15,,"Fullerton","Series","Yes",,,5.00,9.00,12.00,,,,,5,,,,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"3","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","High","Fine, kaolinitic, thermic Typic Paleudults","Ultisols","Udults","Paleudults","Typic Paleudults","fine","not used","not used","not used","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657897","14176935"
,9,,"Fullerton","Series","Yes","NORTH",,12.00,19.00,25.00,,,,,5,,,,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"4","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","High","Fine, kaolinitic, thermic Typic Paleudults","Ultisols","Udults","Paleudults","Typic Paleudults","fine","not used","not used","not used","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657897","14176936"
,3,,"Dewey","Series","Yes","SEV ER",,5.00,9.00,12.00,,,,,5,,,,,,,"No","Well drained",244.00,381.00,518.00,,,,,,,,14.00,15.00,16.00,1168,1270,1372,,,,185,195,205,"4","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","High","Fine, kaolinitic, thermic Typic Paleudults","Ultisols","Udults","Paleudults","Typic Paleudults","fine","not used","not used","not used","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657897","14176937"
,6,,"Bodine","Series","Yes","NORTH",,12.00,19.00,25.00,,,,,5,,,,,,,"No","Somewhat excessively drained",213.00,305.00,396.00,,,,,,,,14.00,15.00,16.00,1219,1296,1372,,,,180,190,200,"6","s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","High","Low","Loamy-skeletal, siliceous, semiactive, thermic Typic Paleudults","Ultisols","Udults","Paleudults","Typic Paleudults","loamy-skeletal","not used","semiactive","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657897","14176938"
,2,,"Colbert","Series","Yes",,,2.00,4.00,5.00,,,,,3,,"4",,,,,"No","Moderately well drained",152.00,221.00,290.00,,,,,,,,14.00,16.00,18.00,1219,1321,1422,,,,190,200,210,"3","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D","Moderate","High","Fine, smectitic, thermic Vertic Hapludalfs","Alfisols","Udalfs","Hapludalfs","Vertic Hapludalfs","fine","not used","not used","not used","thermic","Oxyaquic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657897","14176939"
,7,,"Remlap","Series","Yes",,,2.00,4.00,5.00,,,,,5,,"7",,,,,"No","Well drained",183.00,214.00,244.00,,,,,,,,14.00,16.00,18.00,1219,1321,1422,,,,200,205,210,"3","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","High","High","Fine, mixed, subactive, thermic Typic Hapludults","Ultisols","Udults","Hapludults","Typic Hapludults","fine","not used","subactive","not used","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657897","14176940"
,2,,"Dewey","Series","Yes",,,2.00,4.00,5.00,,,,,5,,,,,,,"No","Well drained",244.00,381.00,518.00,,,,,,,,14.00,15.00,16.00,1168,1270,1372,,,,185,195,205,"2","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","High","Fine, kaolinitic, thermic Typic Paleudults","Ultisols","Udults","Paleudults","Typic Paleudults","fine","not used","not used","not used","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657897","14176941"
,9,,"Bodine","Series","Yes",,,5.00,9.00,12.00,,,,,5,,,,,,,"No","Somewhat excessively drained",213.00,305.00,396.00,,,,,,,,14.00,15.00,16.00,1219,1296,1372,,,,180,190,200,"4","s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","High","Low","Loamy-skeletal, siliceous, semiactive, thermic Typic Paleudults","Ultisols","Udults","Paleudults","Typic Paleudults","loamy-skeletal","not used","semiactive","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657897","14176942"
,3,,"Colbert","Series","Yes",,,5.00,9.00,12.00,,,,,3,,"4",,,,,"No","Moderately well drained",152.00,221.00,290.00,,,,,,,,14.00,16.00,18.00,1219,1321,1422,,,,190,200,210,"4","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D","Moderate","High","Fine, smectitic, thermic Vertic Hapludalfs","Alfisols","Udalfs","Hapludalfs","Vertic Hapludalfs","fine","not used","not used","not used","thermic","Oxyaquic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657897","14176943"
,7,,"Roanoke","Series","Yes","DRAINED",,0.00,1.00,2.00,,,,,4,,"7",,,,,"Yes","Poorly drained",,,,,,,,,,,,,,,,,,,,,,,"5","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D","High","High","Fine, mixed, semiactive, thermic Typic Endoaquults","Ultisols","Aquults","Endoaquults","Typic Endoaquults","fine","not used","semiactive","not used","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657897","14176944"
,11,,"Minvale","Series","Yes",,,2.00,4.00,5.00,,,,,5,,,,,,,"No","Well drained",152.00,259.00,366.00,,,,,,,,14.00,15.00,16.00,1143,1270,1397,,,,180,193,205,"2","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Low","Moderate","Fine-loamy, siliceous, subactive, thermic Typic Paleudults","Ultisols","Udults","Paleudults","Typic Paleudults","fine-loamy","not used","subactive","not used","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657897","14176945"
,8,,"Tupelo","Series","Yes",,,0.00,1.00,2.00,,,,,4,,,,,,,"No","Somewhat poorly drained",,,,,,,,,,,,,,,,,,,,,,,"2","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D","Moderate","High","Fine, mixed, semiactive, thermic Aquic Hapludalfs","Alfisols","Udalfs","Hapludalfs","Aquic Hapludalfs","fine","not used","semiactive","not used","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657898","14176946"
,23,,"Chewacla","Series","Yes",,,0.00,1.00,2.00,,,,,5,,"5",,,,,"No","Somewhat poorly drained",,,,,,,,,,,,,,,,,,,,,,,"3","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","Moderate","High","Fine-loamy, mixed, active, thermic Fluvaquentic Dystrudepts","Inceptisols","Udepts","Dystrudepts","Fluvaquentic Dystrudepts","fine-loamy","not used","active","not used","thermic","Aquic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657898","14176947"
,10,,"Hollywood","Series","Yes",,,0.00,1.00,2.00,,,,,3,,"4",,,,,"No","Moderately well drained",183.00,244.00,305.00,,,,,,,,14.00,16.00,18.00,1219,1321,1422,,,,190,200,210,"2","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D","Low","High","Fine, smectitic, thermic Oxyaquic Hapluderts","Vertisols","Uderts","Hapluderts","Oxyaquic Hapluderts","fine","not used","not used","not used","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657898","14176948"
,34,,"Roanoke","Series","Yes","DRAINED",,0.00,1.00,2.00,,,,,4,,"7",,,,,"Yes","Poorly drained",,,,,,,,,,,,,,,,,,,,,,,"5","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D","High","High","Fine, mixed, semiactive, thermic Typic Endoaquults","Ultisols","Aquults","Endoaquults","Typic Endoaquults","fine","not used","semiactive","not used","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657898","14176949"
,25,,"Ketona","Series","Yes",,,0.00,1.00,2.00,,,,,3,"0","8",,,,,"Yes","Poorly drained",152.00,221.00,290.00,,,,,,,,14.00,16.00,18.00,1219,1321,1422,,,,190,200,210,"4","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D","Moderate","High","Fine, mixed, superactive, thermic Vertic Epiaqualfs","Alfisols","Aqualfs","Epiaqualfs","Vertic Epiaqualfs","fine","not used","superactive","not used","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657898","14176950"
,10,,"Tupelo","Series","Yes",,,0.00,1.00,2.00,,,,,4,,,,,,,"No","Somewhat poorly drained",,,,,,,,,,,,,,,,,,,,,,,"3","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D","Moderate","High","Fine, mixed, semiactive, thermic Aquic Hapludalfs","Alfisols","Udalfs","Hapludalfs","Aquic Hapludalfs","fine","not used","semiactive","not used","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657899","14176951"
,3,,"Decatur","Series","Yes",,,10.00,13.00,15.00,,,,,5,,"7",,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"6","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","High","Fine, kaolinitic, thermic Rhodic Paleudults","Ultisols","Udults","Paleudults","Rhodic Paleudults","fine","not used","not used","not used","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657899","14176952"
,2,,"Chenneby","Series","Yes",,,0.00,1.00,2.00,,,,,5,,"5",,,,,"Yes","Somewhat poorly drained",,,,,,,,,,,,,,,,,,,,,,,"4","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","Moderate","High","Fine-silty, mixed, active, thermic Fluvaquentic Dystrudepts","Inceptisols","Udepts","Dystrudepts","Fluvaquentic Dystrudepts","fine-silty","not used","active","not used","thermic","Aquic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657899","14176953"
,10,,"Colbert","Series","Yes",,,6.00,8.00,10.00,,,,,3,,"4",,,,,"No","Moderately well drained",152.00,221.00,290.00,,,,,,,,14.00,16.00,18.00,1219,1321,1422,,,,190,200,210,"4","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D","Moderate","High","Fine, smectitic, thermic Vertic Hapludalfs","Alfisols","Udalfs","Hapludalfs","Vertic Hapludalfs","fine","not used","not used","not used","thermic","Oxyaquic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657899","14176954"
,22,,"Colbert","Series","Yes",,,2.00,4.00,6.00,,,,,3,,"4",,,,,"No","Moderately well drained",152.00,221.00,290.00,,,,,,,,14.00,16.00,18.00,1219,1321,1422,,,,190,200,210,"3","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D","Moderate","High","Fine, smectitic, thermic Vertic Hapludalfs","Alfisols","Udalfs","Hapludalfs","Vertic Hapludalfs","fine","not used","not used","not used","thermic","Oxyaquic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657899","14176955"
,8,,"Tupelo","Series","Yes",,,2.00,3.00,4.00,,,,,4,,,,,,,"No","Somewhat poorly drained",,,,,,,,,,,,,,,,,,,,,,,"2","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D","Moderate","High","Fine, mixed, semiactive, thermic Aquic Hapludalfs","Alfisols","Udalfs","Hapludalfs","Aquic Hapludalfs","fine","not used","semiactive","not used","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657899","14176956"
,2,,"Chenneby","Series","Yes",,,0.00,1.00,2.00,,,,,5,,"5",,,,,"No","Somewhat poorly drained",,,,,,,,,,,,,,,,,,,,,,,"2","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","Moderate","High","Fine-silty, mixed, active, thermic Fluvaquentic Dystrudepts","Inceptisols","Udepts","Dystrudepts","Fluvaquentic Dystrudepts","fine-silty","not used","active","not used","thermic","Aquic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657899","14176957"
,4,,"Egam","Series","Yes",,,0.00,1.00,2.00,,,,,5,,,,,,,"No","Well drained",244.00,320.00,396.00,,,,,,,,12.00,13.00,14.00,1321,1372,1422,,,,170,180,190,"2","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","Low","High","Fine, mixed, active, thermic Cumulic Hapludolls","Mollisols","Udolls","Hapludolls","Cumulic Hapludolls","fine","not used","active","not used","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657899","14176958"
,3,,"Decatur","Series","Yes",,,6.00,8.00,10.00,,,,,5,,"7",,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"4","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","High","Fine, kaolinitic, thermic Rhodic Paleudults","Ultisols","Udults","Paleudults","Rhodic Paleudults","fine","not used","not used","not used","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657899","14176959"
,2,,"Chenneby","Series","Yes",,,0.00,1.00,2.00,,,,,5,"0","8",,,,,"Yes","Somewhat poorly drained",,,,,,,,,,,,,,,,,,,,,,,"4","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","Moderate","High","Fine-silty, mixed, active, thermic Fluvaquentic Dystrudepts","Inceptisols","Udepts","Dystrudepts","Fluvaquentic Dystrudepts","fine-silty","not used","active","not used","thermic","Aquic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657899","14176960"
,4,,"Decatur","Series","Yes",,,2.00,4.00,6.00,,,,,5,,"6",,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"2","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","High","Fine, kaolinitic, thermic Rhodic Paleudults","Ultisols","Udults","Paleudults","Rhodic Paleudults","fine","not used","not used","not used","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657899","14176961"
,2,,"Hollywood","Series","Yes",,,0.00,1.00,2.00,,,,,3,,"4",,,,,"No","Moderately well drained",183.00,244.00,305.00,,,,,,,,14.00,16.00,18.00,1219,1321,1422,,,,190,200,210,"2","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D","Low","High","Fine, smectitic, thermic Oxyaquic Hapluderts","Vertisols","Uderts","Hapluderts","Oxyaquic Hapluderts","fine","not used","not used","not used","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657899","14176962"
,6,,"Taft","Series","Yes",,,0.00,1.00,2.00,,,,,3,,,,,,,"No","Somewhat poorly drained",213.00,244.00,274.00,,,,,,,,14.00,15.00,16.00,1219,1296,1372,,,,180,195,210,"3","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","High","High","Fine-silty, siliceous, semiactive, thermic Glossaquic Fragiudults","Ultisols","Udults","Fragiudults","Glossaquic Fragiudults","fine-silty","not used","semiactive","not used","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657899","14176963"
,22,,"Leadvale","Series","Yes",,,2.00,4.00,6.00,,,,,3,,,,,,,"No","Moderately well drained",518.00,610.00,701.00,,,,,,,,12.00,13.00,14.00,1321,1372,1422,,,,170,180,190,"2","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","Moderate","Moderate","Fine-silty, siliceous, semiactive, thermic Typic Fragiudults","Ultisols","Udults","Fragiudults","Typic Fragiudults","fine-silty","not used","semiactive","not used","thermic",,"thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657899","14176964"
,8,,"Nauvoo","Series","Yes",,,5.00,8.00,10.00,,,,,3,,"3",,,,,"No","Well drained",183.00,366.00,549.00,,,,,,,,14.00,16.00,18.00,1219,1321,1422,,,,190,200,210,"3","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","High","Low","Fine-loamy, siliceous, semiactive, thermic Typic Hapludults","Ultisols","Udults","Hapludults","Typic Hapludults","fine-loamy","not used","semiactive","not used","thermic","Udic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657900","14176965"
,12,,"Gorgas","Series","Yes",,,15.00,30.00,45.00,,,,,1,"0","8",,,,,"No","Well drained",183.00,336.00,488.00,,,,,,,,14.00,16.00,18.00,1219,1321,1422,,,,190,200,210,"7","s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D","Moderate","Low","Loamy, siliceous, subactive, thermic Lithic Hapludults","Ultisols","Udults","Hapludults","Lithic Hapludults","loamy","not used","subactive","not used","thermic","Udic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657900","14176966"
,10,,"Nella","Series","Yes","NORTH",,12.00,19.00,25.00,,,,,5,,,,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"6","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","Moderate","Fine-loamy, siliceous, semiactive, thermic Typic Paleudults","Ultisols","Udults","Paleudults","Typic Paleudults","fine-loamy","not used","semiactive","not used","thermic","Udic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657900","14176967"
,18,,"Hartsells","Series","Yes",,,6.00,8.00,10.00,,,,,2,,"3",,,,,"No","Well drained",183.00,366.00,549.00,,,,,,,,14.00,16.00,18.00,1219,1321,1422,,,,190,200,210,"3","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","High","Moderate","Fine-loamy, siliceous, subactive, thermic Typic Hapludults","Ultisols","Udults","Hapludults","Typic Hapludults","fine-loamy","not used","subactive","not used","thermic","Udic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657900","14176968"
,2,,"Albertville","Series","Yes",,,2.00,4.00,5.00,,,,,3,,"5",,,,,"No","Well drained",183.00,366.00,549.00,,,,,,,,14.00,16.00,18.00,1219,1321,1422,,,,190,200,210,"2","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","High","Moderate","Fine, mixed, semiactive, thermic Typic Hapludults","Ultisols","Udults","Hapludults","Typic Hapludults","fine","not used","semiactive","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657900","14176969"
,6,,"Rock outcrop","Miscellaneous area","Yes",,,5.00,25.00,45.00,,,,,,"0","8",,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,"8","s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D",,,,,,,,,,,,,,,"eighth edition",,,,,,,"N/A","N/A",,,,,"657900","14176970"
,7,,"Barfield","Series","Yes",,,2.00,7.00,12.00,,,,,1,,,,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"6","s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D","Low","High","Clayey, vermiculitic, thermic Lithic Hapludolls","Mollisols","Udolls","Hapludolls","Lithic Hapludolls","clayey","not used","not used","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657900","14176971"
,10,,"Nella","Series","Yes","NORTH",,25.00,35.00,45.00,,,,,5,,,,,,,"No","Well drained",,,,,,,,,,,,,,,,,,,,,,,"7","s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B","Moderate","Low","Fine-loamy, siliceous, semiactive, thermic Typic Paleudults","Ultisols","Udults","Paleudults","Typic Paleudults","fine-loamy","not used","semiactive","not used","thermic","Udic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657900","14176972"
,10,,"Townley","Series","Yes",,,15.00,30.00,45.00,,,,,2,,"5",,,,,"No","Well drained",183.00,336.00,488.00,,,,,,,,14.00,16.00,18.00,1143,1283,1422,,,,190,200,210,"7","e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","High","Moderate","Fine, mixed, semiactive, thermic Typic Hapludults","Ultisols","Udults","Hapludults","Typic Hapludults","fine","not used","semiactive","not used","thermic","Typic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657900","14176973"
,2,,"Chewacla","Series","Yes",,,0.00,1.00,2.00,,,,,5,,"5",,,,,"Yes","Somewhat poorly drained",,,,,,,,,,,,,,,,,,,,,,,"4","w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C","Moderate","High","Fine-loamy, mixed, active, thermic Fluvaquentic Dystrudepts","Inceptisols","Udepts","Dystrudepts","Fluvaquentic Dystrudepts","fine-loamy","not used","active","not used","thermic","Aquic","thermic","ninth edition",,,,,,,"N/A","N/A",,,,,"657900","14176974"
